,country,ctyname,ptyid,ptyname,CPARTY,OBS-NPD,ID_GPS,ISO,Partyname,Partyabb,CPARTY-NPD,CPARTYABB,Type_Values,Type_Populism,Type_Populist_Values,V3,V8_Scale,V9,V18,V19,V20,V21,valueinf,routinization,polar,enpp,subsid,execoff,legisoff,formation,group,page,zpolar,zenpp,zsubsid,zexecoff,zlegisoff,zformation,zgroup,zpage,formal,informal,loyalty,formal_uncertain,inform_uncertain,value_uncertain,dependency,dominant,experience,president,coalition,gdppc,regime,volat,seatshare_t2,president_t2,partyinst_t1,routinization_t1,valueinf_t1,seatshare_t1,incumbent_t2
2,10,ARG,1002,Union Civica Radical,ARG_ Cambiemos,66,17,ARG,Cambiemos,PRO-UCR,ARG_ Cambiemos,ARG_ PRO-UCR,4,2,2,7.2,3.214285714,5.461538462,6.666666667,5.166666667,6.8,3.111111111,0.75757575,0.870833337,2.055735588,3.46260096,3.871201038,2.152730703,23.73540856,0.449999988,0.043478262,4.762174129,-0.618377268,-0.524056137,1.520754457,1.039820433,0.292453051,0.236074746,-0.860956013,1.433600903,0.916666687,0.824999988,0.75757575,0.042068698,0.056133498,0.045904685,0.70588237,0,7.719444444,7.608333333,0.105360515,5531.899801,25,16.94552529,30.35019455,0,0.814204574,0.870833337,0.75757575,23.73540878,0
1,10,ARG,1001,Partido Justicialista,ARG_ Justicialist Party,67,22,ARG,Justicialist Party,PJ,ARG_ Justicialist Party,ARG_ PJ,4,4,4,8.133333333,8.153846154,8.466666667,4.4,6.4,2.75,7.666666667,0.954545438,0.93650794,2.055735588,3.46260096,3.871201038,2.397895336,6.614785992,0.949999988,0.956521749,4.110873699,-0.618377268,-0.524056137,1.520754457,1.259166598,-0.783745706,1.914150596,2.693419933,0.885354817,0.920634925,0.952380955,0.954545438,0.052200265,0.033629637,0.025549684,0.70588237,1,12.60555556,10,1.282475829,5531.899801,25,16.94552529,8.171206226,0,0.945526719,0.93650794,0.954545438,6.614786148,0
5,11,BOL,1101,Movimiento al Socialismo,BOL_ Movement for Socialism,9,117,BOL,Movement for Socialism,MAS,BOL_ Movement for Socialism,BOL_ MAS,1,3,3,5,7.375,8.428571429,3.833333333,3.571428571,7.4,8.857142857,0.871794879,0.893939376,10.37717915,4.327043426,0,1.371603608,55.38461538,0.050000001,0.571428597,2.564949274,2.117233276,-0.046453901,-1.550359607,0.340954602,2.281915665,-1.106385946,1.194295526,-0.415960252,0.833333373,0.954545438,0.871794879,0.052486386,0.047673129,0.062588967,0.458333343,0,2.983333333,2.941666667,0.040821996,1033.618371,26,35.6474359,67.69230769,1,0.882867098,0.893939376,0.871794879,55.38461685,1
8,11,BOL,1104,Frente de Unidad Nacional,BOL_ National Unity Front,10,118,BOL,National Unity Front,UN,BOL_ National Unity Front,BOL_ UN,4,2,2,5.5,3,4.333333333,3.8,5,5,2.571428571,0.282051295,0.273148149,10.37717915,4.327043426,0,0,6.153846154,0.100000001,0.071428575,1.386294365,2.117233276,-0.046453901,-1.550359607,-0.886204123,-0.812720299,-0.938578367,-0.752148569,-1.408118367,0.296296299,0.25,0.282051295,0.109361216,0.101015255,0.066273779,0.13636364,0,0,0,0,1033.618371,26,35.6474359,2.307692308,0,0.277599722,0.273148149,0.282051295,6.153846264,0
11,12,BRA,1203,Partido do Movimento Democratico Brasileiro,BRA_ Brazilian Democratic Movement,68,122,BRA,Brazilian Democratic Movement,MDB,BRA_ Brazilian Democratic Movement,BRA_ MDB,4,2,2,7.304347826,4.391304348,4.782608696,6.230769231,6.142857143,4.176470588,4.789473684,0.631578982,0.935048997,4.072059631,8.116785227,3.637586117,1.791759491,17.34892788,0.949999988,0.050000001,3.76120019,0.04447373,2.047368288,1.335422277,0.716863513,-0.108999766,1.914150596,-0.835567594,0.591009617,0.958333313,0.911764681,0.631578982,0.029397236,0.049119078,0.078106612,0.444444448,0,21.10555556,5,2.839403391,4660.440294,23,13.84015595,15.39961014,0,0.78331399,0.935048997,0.631578982,17.34892845,0
13,12,BRA,1205,Partido Socialista Brasileiro,BRA_ Brazilian Socialist Party,72,120,BRA,Brazilian Socialist Party,PSB,BRA_ Brazilian Socialist Party,BRA_ PSB,1,2,1,4.129032258,3.5,4.12,3.411764706,4.260869565,4.523809524,2.260869565,0.479166687,0.630681813,4.072059631,8.116785227,3.637586117,0,5.263157895,0.25,0.200000003,4.110873699,0.04447373,2.047368288,1.335422277,-0.886204123,-0.868708789,-0.4351556,-0.251634389,0.885354817,0.636363626,0.625,0.479166687,0.073854893,0.06818182,0.070052885,0.647058845,0,7,0,2.079441547,4660.440294,23,13.84015595,6.627680312,0,0.55492425,0.630681813,0.479166687,5.263157845,0
9,12,BRA,1201,Partido da Frente Liberal,BRA_ Democrats,74,121,BRA,Democrats,DEM,BRA_ Democrats,BRA_ DEM,4,2,2,5.666666667,4.714285714,5.222222222,7.684210526,8.12,5.571428571,3.88,0.368421048,0.813725471,4.072059631,8.116785227,3.178053856,0,12.6705653,0.129999995,0,3.135494232,0.04447373,2.047368288,0.970864594,-0.886204123,-0.403080672,-0.837893844,-1.030212045,0.064308211,0.833333313,0.79411763,0.368421048,0.054433104,0.077293366,0.07358513,0.388888896,0,17.2,0,2.901421547,4660.440294,23,13.84015595,8.382066277,0,0.591073275,0.813725471,0.368421048,12.67056561,0
12,12,BRA,1204,Partido Progressista,BRA_ Progressive Party,71,123,BRA,Progressive Party,PP,BRA_ Progressive Party,BRA_ PP,4,3,4,7.722222222,6.277777778,6.181818182,6.714285714,7.65,6.235294118,7,0.200000003,0.496503532,4.072059631,8.116785227,1.791759491,0,8.187134503,0.100000001,0.100000001,1.609437943,0.04447373,2.047368288,-0.128915042,-0.886204123,-0.684908211,-0.938578367,-0.640923202,-1.220282435,0.538461566,0.454545468,0.200000003,0.062588967,0.085280284,0.056343619,0.357142866,0,4.722222222,0,1.744357228,4660.440294,23,13.84015595,7.992202729,0,0.34825176,0.496503532,0.200000003,8.187134743,0
14,12,BRA,1206,Partido da Social Democracia Brasileira,BRA_ Social Democracy Party,70,125,BRA,Social Democracy Party,PSDB,BRA_ Social Democracy Party,BRA_ PSDB,3,2,1,4.703703704,3.64,4.541666667,7,7,5.533333333,3,0.666666687,0.855392158,4.072059631,8.116785227,3.044522524,2.195989132,12.6705653,0.100000001,0,2.995732307,0.04447373,2.047368288,0.864931047,1.078523278,-0.403080672,-0.938578367,-1.030212045,-0.053339392,0.916666687,0.79411763,0.666666687,0.049690399,0.077293366,0.064150035,0.342105269,0,10.86666667,7.988888889,1.35526228,4660.440294,23,13.84015595,10.33138402,0,0.761029422,0.855392158,0.666666687,12.67056561,0
15,12,BRA,1207,Partido dos Trabalhadores,BRA_ Workers' Party,69,129,BRA,Workers' Party,PT,BRA_ Workers' Party,BRA_ PT,1,2,1,2.580645161,3.785714286,5.222222222,3.192307692,2.892857143,4.35,2.32,0.947368443,1,4.072059631,8.116785227,3.367295742,1.945513248,16.17933723,0.670000017,0.800000012,3.33220458,0.04447373,2.047368288,1.120994568,0.854425311,-0.182520077,0.974428236,2.084098339,0.229893371,1,1,0.947368443,0,0,0.039398406,0.526315808,0,6.383333333,5.997222222,0.326502055,4660.440294,23,13.84015595,17.1539961,1,0.973684192,1,0.947368443,16.17933655,1
30,14,COL,1405,Polo Democratico Alternativa,COL_ Alternative Democratic Polo Party,82,181,COL,Alternative Democratic Polo Party,PDA,COL_ Alternative Democratic Polo Party,COL_ PDA,1,3,3,4.75,6,5.666666667,1.5,3,9,1.333333333,0.636363626,0.689393938,3.899597168,5.724240763,1.386294365,0,4.819277108,0.150000006,0.692307711,1.098612309,-0.012221974,0.725493908,-0.450579971,-0.886204123,-0.896611035,-0.770770729,1.664864302,-1.650280952,0.606060624,0.772727251,0.636363626,0.042640146,0.082572281,0.11009638,0.708333313,0,0,0,0,3311.241053,51,30.01824658,2.43902439,0,0.662878752,0.689393938,0.636363626,4.819277287,0
31,14,COL,1406,Convergencia Ciudadana,COL_ Citizen Option Party,15,182,COL,Citizen Option Party,OC,COL_ Citizen Option Party,COL_ OC,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0.400000006,0.216666669,3.899597168,5.724240763,2.484906673,0,4.819277108,0.150000006,0.07692308,2.397895336,-0.012221974,0.725493908,0.420974761,-0.886204123,-0.896611035,-0.770770729,-0.730759084,-0.556581497,0.333333343,0.100000001,0.400000006,0.117851131,0.111803398,0.182574183,0.428571433,0,6.494444444,0,2.014162064,3311.241053,51,30.01824658,7.317073171,0,0.308333337,0.216666669,0.400000006,4.819277287,0
27,14,COL,1402,Partido Social Conservador Colombiano,COL_ Colombian Conservative Party,76,184,COL,Colombian Conservative Party,PCC,COL_ Colombian Conservative Party,COL_ PCC,4,3,4,5.5,7,6.666666667,3.333333333,3.333333333,6,4,0.861111104,0.819444418,3.899597168,5.724240763,3.178053856,1.609437943,18.07228916,0.400000006,0.230769232,5.0689044,-0.012221974,0.725493908,0.970864594,0.553742409,-0.063529506,0.068267204,-0.131853238,1.691797733,0.805555582,0.833333313,0.861111104,0.051752273,0.074226961,0.051752273,0.666666687,0,26.78611111,4,3.169101954,3311.241053,51,30.01824658,23.17073171,0,0.840277791,0.819444418,0.861111104,18.07228851,0
26,14,COL,1401,Partido Liberal Colombiano,COL_ Colombian Liberal Party,77,185,COL,Colombian Liberal Party,PLC,COL_ Colombian Liberal Party,COL_ PLC,1,1,1,7.666666667,1.5,1.5,2,5.333333333,5.5,2,0.805555582,0.909722209,3.899597168,5.724240763,3.178053856,2.833213329,21.08433735,0.400000006,0.07692308,5.075173855,-0.012221974,0.725493908,0.970864594,1.648640871,0.125807241,0.068267204,-0.730759084,1.697075248,0.861111104,0.958333313,0.805555582,0.051752273,0.043519415,0.067192599,0.666666687,1,24.35,16,2.235376358,3311.241053,51,30.01824658,22.56097561,0,0.857638896,0.909722209,0.805555582,21.08433723,0
28,14,COL,1403,Partido de la Unidad,COL_ National Unity Social Party / Party of the U,78,189,COL,National Unity Social Party / Party of the U,la U,COL_ National Unity Social Party / Party of the U,COL_ la U,4,3,4,10,6.333333333,10,3.333333333,5.5,9,4,0.393939406,0.530303001,3.899597168,5.724240763,1.386294365,2.001480103,17.46987952,0.150000006,0.07692308,1.098612309,-0.012221974,0.725493908,-0.450579971,0.904498219,-0.101396836,-0.770770729,-0.730759084,-1.650280952,0.515151501,0.545454562,0.393939406,0.072474308,0.047673129,0.103474975,0.625,0,6.494444444,6.4,0.090246879,3311.241053,51,30.01824658,28.65853659,1,0.462121189,0.530303001,0.393939406,17.46987915,1
29,14,COL,1404,Movimiento Cambio Radical,COL_ Radical Change Party,79,190,COL,Radical Change Party,CR,COL_ Radical Change Party,COL_ CR,4,3,4,7.666666667,5,4.333333333,2.333333333,6.5,6.5,7,0.454545468,0.517424226,3.899597168,5.724240763,2.397895336,0,12.04819277,0.150000006,0.07692308,2.302585125,-0.012221974,0.725493908,0.351946652,-0.886204123,-0.442202896,-0.770770729,-0.730759084,-0.636810899,0.484848499,0.550000012,0.454545468,0.072474308,0.052704629,0.108245887,0.600000024,0,6.494444444,0,2.014162064,3311.241053,51,30.01824658,9.146341463,0,0.485984862,0.517424226,0.454545468,12.04819298,0
33,15,CRI,1501,Partido Accion Ciudadana,CRI_ Citizens Action Party,19,206,CRI,Citizens Action Party,PAC,CRI_ Citizens Action Party,CRI_ PAC,1,1,1,5.6,1.5,3,3,5.6,4.571428571,3,0.288888901,0.558823526,4.166409969,3.38421794,2.197224617,0,29.8245614,0,0.555555582,2.079441547,0.075490676,-0.567362547,0.192749888,-0.886204123,0.67521596,-1.274193525,1.132503629,-0.824646831,0.450980395,0.666666687,0.288888901,0.083026394,0.05882353,0.07428164,0.638888896,0,0,0,0,4607.707652,89,23.04093567,19.29824561,0,0.423856199,0.558823526,0.288888901,29.82456207,0
35,15,CRI,1503,Movimiento Libertario,CRI_ Libertarian Movement Party,20,207,CRI,Libertarian Movement Party,PML,CRI_ Libertarian Movement Party,CRI_ PML,3,3,3,4.428571429,6.285714286,6.8,7.8,5.8,8.4,3.428571429,0.333333343,0.40196079,4.166409969,3.38421794,2.708050251,0,10.52631579,0,0,2.639057398,0.075490676,-0.567362547,0.597999752,-0.886204123,-0.537867785,-1.274193525,-1.030212045,-0.35357815,0.333333343,0.470588237,0.333333343,0.077951193,0.082331605,0.089087084,0.361111104,0,6.747222222,0,2.047334433,4607.707652,89,23.04093567,15.78947368,0,0.367647052,0.40196079,0.333333343,10.52631569,0
34,15,CRI,1502,Partido Liberacion Nacional,CRI_ National Liberation Party,22,209,CRI,National Liberation Party,PLN,CRI_ National Liberation Party,CRI_ PLN,4,2,2,6.4,2.8,3.2,5.833333333,8.6,3.2,4,0.958333313,0.772058845,4.166409969,3.38421794,3.970291853,2.750293493,43.85964912,0,0.055555556,4.043051243,0.075490676,-0.567362547,1.599365473,1.574453354,1.557458639,-1.274193525,-0.813940406,0.828263819,0.627451003,0.916666687,0.958333313,0.087808743,0.046504084,0.029397236,0.555555582,0,14.86388889,14.64722222,0.196114883,4607.707652,89,23.04093567,40.35087719,1,0.865196109,0.772058845,0.958333313,43.85964966,1
36,15,CRI,1504,Partido Unidad Social Cristiana,CRI_ Social Christian Unity Party,25,212,CRI,Social Christian Unity Party,PUSC,CRI_ Social Christian Unity Party,CRI_ PUSC,4,3,4,5,6,6.2,6,8.666666667,3,4.375,0.933333337,0.635620952,4.166409969,3.38421794,3.465735912,2.564949274,8.771929825,0,0.055555556,3.433987141,0.075490676,-0.567362547,1.199089527,1.408627868,-0.648148119,-1.274193525,-0.813940406,0.31557104,0.549019635,0.722222209,0.933333337,0.088099025,0.074664444,0.049943279,0.527777791,0,14.86388889,12,1.351674199,4607.707652,89,23.04093567,10.52631579,0,0.784477115,0.635620952,0.933333337,8.771929741,0
81,25,RDO,2503,Partido de la Liberacion Dominicana,DOM_ Dominican Liberation Party,84,252,DOM,Dominican Liberation Party,PLD,DOM_ Dominican Liberation Party,DOM_ PLD,0,4,4,6.5,8.333333333,8.333333333,6.5,10,1.666666667,8.5,0.866666675,0.816666663,0.420324355,2.493532973,2.484906673,2.238046646,53.93258427,0.649999976,0.200000003,3.555348158,-1.156006098,-1.059463739,0.420974761,1.11615169,2.190641165,0.907305062,-0.251634389,0.417729259,0.733333349,0.899999976,0.866666675,0.217306748,0.111803398,0.091287084,0.699999988,0,8.497222222,8.375,0.115310848,3658.958286,12,22.0931981,57.37704918,1,0.841666698,0.816666663,0.866666675,53.93258286,1
79,25,RDO,2501,Partido Revolucionario Dominicana,DOM_ Modern Revolutionary Party,29,255,DOM,Modern Revolutionary Party,PRM,DOM_ Modern Revolutionary Party,DOM_ PRM,2,3,4,6.6,6,7,2.5,3,4.75,5,0.800000012,0.850000024,0.420324355,2.493532973,2.484906673,2.555934429,33.70786517,0.949999988,0.400000006,4.234106541,-1.156006098,-1.059463739,0.420974761,1.400562406,0.919319689,1.914150596,0.526943207,0.989088714,0.800000012,0.899999976,0.800000012,0.149071202,0.111803398,0.149071202,0.699999988,0,12.175,11.88333333,0.255933374,3658.958286,12,22.0931981,40.98360656,0,0.825000048,0.850000024,0.800000012,33.70786667,0
80,25,RDO,2502,Partido Reformista Social Cristiano,DOM_ Social Christian Reformist Party,85,256,DOM,Social Christian Reformist Party,PRSC,DOM_ Social Christian Reformist Party,DOM_ PRSC,4,3,4,7,7.25,8.5,8.5,9.5,2,8.75,0.866666675,0.6875,0.420324355,2.493532973,2.484906673,2.397895336,12.35955056,0.560000002,0.600000024,3.80666256,-1.156006098,-1.059463739,0.420974761,1.259166598,-0.422631025,0.605251491,1.305520892,0.629278541,0.75,0.625,0.866666675,0.184256941,0.144337565,0.091287084,0.600000024,1,10.14722222,10,0.137343556,3658.958286,12,22.0931981,1.639344262,0,0.777083337,0.6875,0.866666675,12.35955048,0
39,16,ECU,1603,Partido Roldosista Ecuatoriano,ECU_ Fuerza Ecuador,91,263,ECU,Fuerza Ecuador,FE,ECU_ Fuerza Ecuador,ECU_ FE,4,4,4,7.75,9.2,8.8,2.333333333,4.333333333,8.5,6.333333333,0.738095224,0.548611164,3.252504826,6.122335202,3.295836926,0.409161955,6,0.079999998,0.142857149,3.258096457,-0.2249486,0.945440114,1.06430459,-0.520131409,-0.822391033,-1.005701423,-0.474085122,0.167511269,0.555555582,0.541666687,0.738095224,0.06546203,0.043519415,0.074124932,0.192307696,0,2.247222222,0.505555556,1.008566022,2873.150369,8,31.07736343,2.4,0,0.643353224,0.548611164,0.738095224,6,0
42,16,ECU,1606,Parido Sociedad Patriotico,ECU_ January 21 Patriotic Society Party,88,264,ECU,January 21 Patriotic Society Party,PSP,ECU_ January 21 Patriotic Society Party,ECU_ PSP,4,4,4,6.25,8,7.333333333,2,2.666666667,9,4.333333333,0.538461566,0.569444418,3.252504826,6.122335202,2.197224617,1.182919383,24,0.200000003,0.071428575,2.079441547,-0.2249486,0.945440114,0.192749888,0.172140896,0.30908519,-0.60296315,-0.752148569,-0.824646831,0.555555582,0.583333313,0.538461566,0.098969281,0.108203456,0.114789538,0.230769232,0,2.294444444,2.263888889,0.03009803,2873.150369,8,31.07736343,15.2,0,0.553952992,0.569444418,0.538461566,24,0
